ts,process,asap_layer,stride_tags,details
2026-06-26T09:01:42.582862+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""7f2a3714-b3ff-40c3-8707-1188668c57e5"", ""amount"": 91.79357497754135, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583080+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""bbdc658f-09ef-4c91-97e7-e570fab690e6"", ""amount"": 84.80221383452208, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583088+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""bbdc658f-09ef-4c91-97e7-e570fab690e6"", ""amount"": 84.80221383452208, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583319+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""47727d6f-0268-4cff-98d1-fa57af3b9526"", ""amount"": 20.105779382173516, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583326+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""47727d6f-0268-4cff-98d1-fa57af3b9526"", ""amount"": 20.105779382173516, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583549+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""b1922eaf-4919-4f42-909c-d0f727e4b691"", ""amount"": 198.30982043309672, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583555+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""b1922eaf-4919-4f42-909c-d0f727e4b691"", ""amount"": 198.30982043309672, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583779+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""fa6022e8-0ce1-4f32-8761-8884116f3081"", ""amount"": 129.49498828428497, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.583786+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""fa6022e8-0ce1-4f32-8761-8884116f3081"", ""amount"": 129.49498828428497, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584052+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""c0150f5d-d13b-4645-8f14-c4c582b63f6b"", ""amount"": 26.797392416686737, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584059+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""c0150f5d-d13b-4645-8f14-c4c582b63f6b"", ""amount"": 26.797392416686737, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584315+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""6f610b07-7fde-4276-a724-4002d4c71070"", ""amount"": 60.85866740069916, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584322+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""6f610b07-7fde-4276-a724-4002d4c71070"", ""amount"": 60.85866740069916, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584592+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""e6110801-9644-4428-87b1-5fdc4bd2bd10"", ""amount"": 46.33146870944497, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584599+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""e6110801-9644-4428-87b1-5fdc4bd2bd10"", ""amount"": 46.33146870944497, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584838+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""9cff25ec-b5a0-46f1-b5f2-4100a52b04f9"", ""amount"": 92.66658837322085, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.584845+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""9cff25ec-b5a0-46f1-b5f2-4100a52b04f9"", ""amount"": 92.66658837322085, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585089+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""12635a7e-9e01-4129-a890-61ddeda42f3b"", ""amount"": 79.21698763465264, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585095+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""12635a7e-9e01-4129-a890-61ddeda42f3b"", ""amount"": 79.21698763465264, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585360+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""f6ee3251-2d16-4699-92a2-a1a72e664a34"", ""amount"": 66.26072317682653, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585367+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""f6ee3251-2d16-4699-92a2-a1a72e664a34"", ""amount"": 66.26072317682653, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585637+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""35189bf5-d6bb-40df-abcf-bd71527ab504"", ""amount"": 82.24721196536171, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585644+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""35189bf5-d6bb-40df-abcf-bd71527ab504"", ""amount"": 82.24721196536171, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585908+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""58009713-09ce-4038-95f8-8220cbbd1da7"", ""amount"": 140.26855183796292, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.585928+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""58009713-09ce-4038-95f8-8220cbbd1da7"", ""amount"": 140.26855183796292, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.586213+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""6a6f24a0-dd5a-4389-a6f0-f3c9c1cd40f2"", ""amount"": 183.63789275932163, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.586220+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""6a6f24a0-dd5a-4389-a6f0-f3c9c1cd40f2"", ""amount"": 183.63789275932163, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.586514+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""d4fb2725-e292-4b8f-812b-1137b3a5981e"", ""amount"": 94.3100082339096, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.586523+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""d4fb2725-e292-4b8f-812b-1137b3a5981e"", ""amount"": 94.3100082339096, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.586806+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""0ad006c6-48c6-45d8-b77e-66de64d3216e"", ""amount"": 61.07587387712038, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.586814+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""0ad006c6-48c6-45d8-b77e-66de64d3216e"", ""amount"": 61.07587387712038, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.587098+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""53086ba3-8195-4608-9bfa-fec68b991da4"", ""amount"": 127.71636703368023, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.587105+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""53086ba3-8195-4608-9bfa-fec68b991da4"", ""amount"": 127.71636703368023, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.587429+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""c3e778f8-c0b6-4e01-8fc9-2bee539781a5"", ""amount"": 186.03158190658445, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.587436+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""c3e778f8-c0b6-4e01-8fc9-2bee539781a5"", ""amount"": 186.03158190658445, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.587737+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""f8d3a66a-c5ba-4b74-a2dc-6fab4c6d4e48"", ""amount"": 168.40187205712124, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.587744+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""f8d3a66a-c5ba-4b74-a2dc-6fab4c6d4e48"", ""amount"": 168.40187205712124, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.588034+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""49a2200a-05ae-4d29-ac1a-101f8feb9f10"", ""amount"": 168.22045699929583, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.588040+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""49a2200a-05ae-4d29-ac1a-101f8feb9f10"", ""amount"": 168.22045699929583, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.588355+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""cf58317b-a3c3-4f31-8c8c-15ec28608d76"", ""amount"": 46.55068805670485, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.588362+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""cf58317b-a3c3-4f31-8c8c-15ec28608d76"", ""amount"": 46.55068805670485, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.588694+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""26b52f7b-f181-4062-bf00-02c0b16b302d"", ""amount"": 40.850333058365, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.588701+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""26b52f7b-f181-4062-bf00-02c0b16b302d"", ""amount"": 40.850333058365, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.589012+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""7e72c9fd-fae2-47ea-bb7d-5d9bf7c317ee"", ""amount"": 100.83868670412299, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.589019+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""7e72c9fd-fae2-47ea-bb7d-5d9bf7c317ee"", ""amount"": 100.83868670412299, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.589746+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""f84be018-6cc6-4fb9-b6b6-60fe2a25f5c0"", ""amount"": 140.1212281145184, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.589753+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""f84be018-6cc6-4fb9-b6b6-60fe2a25f5c0"", ""amount"": 140.1212281145184, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.592376+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""dbdc3fa9-94d2-48d6-a243-da0ec8a3ea7e"", ""amount"": 52.49444862693044, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.592389+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""dbdc3fa9-94d2-48d6-a243-da0ec8a3ea7e"", ""amount"": 52.49444862693044, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.592812+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""d45d6648-118f-4053-8491-40e48c043118"", ""amount"": 88.45424241342425, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.592820+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""d45d6648-118f-4053-8491-40e48c043118"", ""amount"": 88.45424241342425, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.593178+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""7e60cfc6-43ef-44fc-b791-c3ee0806644a"", ""amount"": 171.55630530972977, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.593187+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""7e60cfc6-43ef-44fc-b791-c3ee0806644a"", ""amount"": 171.55630530972977, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.593500+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""5918d5ad-9723-41db-89be-4f17765abead"", ""amount"": 75.19220724984957, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.593507+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""5918d5ad-9723-41db-89be-4f17765abead"", ""amount"": 75.19220724984957, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.593809+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""01fb7432-1e64-4bd2-9413-ab3c3e97039d"", ""amount"": 78.64703346432732, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.593816+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""01fb7432-1e64-4bd2-9413-ab3c3e97039d"", ""amount"": 78.64703346432732, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.594132+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""cd0f2841-1100-418f-b601-af077bb8388a"", ""amount"": 117.18764823432089, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.594157+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""cd0f2841-1100-418f-b601-af077bb8388a"", ""amount"": 117.18764823432089, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.594500+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""920f9db4-9b17-4642-bf58-fa5c915e611f"", ""amount"": 106.56079928618878, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.594508+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""920f9db4-9b17-4642-bf58-fa5c915e611f"", ""amount"": 106.56079928618878, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.594840+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""238fcda1-9f15-4905-99ec-3f5bb5778443"", ""amount"": 144.56441488968514, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.594847+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""238fcda1-9f15-4905-99ec-3f5bb5778443"", ""amount"": 144.56441488968514, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.595208+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""bc7c737e-8ede-4589-967c-7a0f51caa730"", ""amount"": 166.88184282479577, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.595216+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""bc7c737e-8ede-4589-967c-7a0f51caa730"", ""amount"": 166.88184282479577, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.595581+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""97165ca1-dac7-4436-91b2-87e0e60fc13b"", ""amount"": 21.793421743345924, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.595587+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""97165ca1-dac7-4436-91b2-87e0e60fc13b"", ""amount"": 21.793421743345924, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.595939+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""fe52085f-2874-4b46-bf32-a340a1fa6de0"", ""amount"": 158.36832338860907, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.595946+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""fe52085f-2874-4b46-bf32-a340a1fa6de0"", ""amount"": 158.36832338860907, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.598470+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""e2bb39f0-3205-4f5f-9dfe-d15a944bff6f"", ""amount"": 133.721296156024, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.598480+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""e2bb39f0-3205-4f5f-9dfe-d15a944bff6f"", ""amount"": 133.721296156024, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.598903+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""f5f8441f-ed7d-40fc-8abe-922f8ddf9b72"", ""amount"": 62.20800016556474, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.598911+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""f5f8441f-ed7d-40fc-8abe-922f8ddf9b72"", ""amount"": 62.20800016556474, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.599294+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""303211f1-5b9d-4a61-92b0-680ceebb9739"", ""amount"": 63.74996298692251, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.599301+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""303211f1-5b9d-4a61-92b0-680ceebb9739"", ""amount"": 63.74996298692251, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.599679+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""ad064135-8d0c-4195-a0b2-6759e3f242fc"", ""amount"": 134.7293379833493, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.599685+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""ad064135-8d0c-4195-a0b2-6759e3f242fc"", ""amount"": 134.7293379833493, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.600074+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""49d293bf-5856-4dba-a8ff-d4ee108951c6"", ""amount"": 143.87974982750444, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.600080+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""49d293bf-5856-4dba-a8ff-d4ee108951c6"", ""amount"": 143.87974982750444, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.602580+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""51624f7b-0ff0-4dbc-b256-8ddffb5a5ea9"", ""amount"": 168.8581357915308, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.602589+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""51624f7b-0ff0-4dbc-b256-8ddffb5a5ea9"", ""amount"": 168.8581357915308, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.602977+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""c3b5773a-196f-4159-a270-c189e57cc738"", ""amount"": 158.606452427543, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.602985+00:00,P5,Service,"[""Tampering"", ""InformationDisclosure""]","{""tx_id"": ""c3b5773a-196f-4159-a270-c189e57cc738"", ""amount"": 158.606452427543, ""ok"": true, ""label"": 0, ""agent_id"": ""system_init""}"
2026-06-26T09:01:42.603411+00:00,P4,Service,"[""Tampering""]","{""tx_id"": ""ef05cf24-b99a-41af-939a-22ba3fc35c65"", ""amount"": 134.77324459303082, ""label"": 0, ""offline"": false, ""agent_id"": ""system_init""}"
